timestamp,smoke,seed,model,pooling,length_mode,training,translated,setting,task,test_language,language_label,text_col,train_size,test_size,train_label_dist,test_label_dist,classifier,accuracy,macro_f1,best_params
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,96,48,"{""Dementia"": 48, ""HC"": 48}","{""Dementia"": 24, ""HC"": 24}",DT,0.5416666666666666,0.5343915343915344,"{""max_depth"": 10}"
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,96,48,"{""Dementia"": 48, ""HC"": 48}","{""Dementia"": 24, ""HC"": 24}",RF,0.7708333333333334,0.7624831309041835,"{""n_estimators"": 50}"
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,96,48,"{""Dementia"": 48, ""HC"": 48}","{""Dementia"": 24, ""HC"": 24}",SVM,0.8333333333333334,0.8321678321678322,"{""C"": 1, ""kernel"": ""linear""}"
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,96,48,"{""Dementia"": 48, ""HC"": 48}","{""Dementia"": 24, ""HC"": 24}",LR,0.8541666666666666,0.8525669153137341,"{""C"": 1}"
2026-05-15 20:48:03,True,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,96,48,"{""Dementia"": 48, ""HC"": 48}","{""Dementia"": 24, ""HC"": 24}",Best Ensemble,0.875,,RF + SVM + LR
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,2140,194,"{""Dementia"": 512, ""HC"": 1628}","{""Dementia"": 63, ""HC"": 131}",DT,0.7835051546391752,0.751099706744868,"{""max_depth"": 10}"
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,2140,194,"{""Dementia"": 512, ""HC"": 1628}","{""Dementia"": 63, ""HC"": 131}",RF,0.8762886597938144,0.8565265623074079,"{""n_estimators"": 200}"
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,2140,194,"{""Dementia"": 512, ""HC"": 1628}","{""Dementia"": 63, ""HC"": 131}",SVM,0.7422680412371134,0.7382622773880194,"{""C"": 10, ""kernel"": ""rbf""}"
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,2140,194,"{""Dementia"": 512, ""HC"": 1628}","{""Dementia"": 63, ""HC"": 131}",Best Ensemble,0.8865979381443299,,RF + SVM + LR
2026-05-15 21:51:40,False,42,xlm-roberta-base,cls,truncate,mono,no,Monolingual,binary,en,English,Text_interviewer_participant,2140,194,"{""Dementia"": 512, ""HC"": 1628}","{""Dementia"": 63, ""HC"": 131}",LR,0.8608247422680413,0.8331581462016244,"{""C"": 10}"
